TrainNo,TrainName,TrainNumber,trainName,
,,'11451',INTERCITY EXP  ,
,,'11452',INTERCITY EXP  ,
,,'11453',PRERANA EXPRESS,
,,'11454',PRERANA EXPRESS,
,,'11463',SMNH JBP EXPRES,
,,'11464',JBP SOMNATH EXP,
,,'11465',SMNH JBP EXPRES,
,,'11466',JBP SOMNATH EXP,
,,'11471',INDB JBP EXP   ,
,,'11472',JBP INDB EXP   ,
,,'11651',SGRL  INTERCITY,
,,'11652',JBP INTERCITY E,
,,'11701',INDB INTERCITY ,
,,'11702',JBP INTERCITY  ,
,,'11703',REWA INDB EXP  ,
,,'11704',REWA EXPRESS   ,
,,'12001',NDLS SHATABDI E,
,,'12002',BHOPAL SHTBDI  ,
,,'12003',LJN SWRAN SHTBD,
,,'12004',LJN SWRAN SHTBD,
,,'12005',KALKA SHTBDI   ,
,,'12006',KALKA SHTBDI   ,
,,'12007',SHATABDI EXP   ,
,,'12008',SHATABDI EXP   ,
,,'12009',SHATABDI EXP   ,
,,'12010',SHATABDI EXP   ,
,,'12011',KALKA SHTBDI   ,
,,'12012',KALKA SHTBDI   ,
,,'12013',AMRITSAR SHTBDI,
,,'12014',AMRITSAR SHTBDI,
,,'12015',AJMER SHTBDI   ,
,,'12016',AJMER SHTBDI   ,
,,'12017',DEHRADUN SHTBDI,
,,'12018',DEHRADUN SHTBDI,
,,'12019',SHATABDI EXPRES,
,,'12020',SHATABDI EXPRES,
,,'12021',BBN JANSHATABDI,
,,'12022',BBN JANSHATABDI,
,,'12023',JANSHATABDI EXP,
,,'12024',JANSHATABDI EXP,
,,'12025',SHATABDI EXP   ,
,,'12026',PUNE SHATABDI  ,
,,'12027',SHATABDI EXP   ,
,,'12028',SHATABDI EXP   ,
,,'12029',SWARNA SHTBDI  ,
,,'12030',SWARNA SHTBDI  ,
,,'12031',AMRITSAR SHTBDI,
,,'12032',AMRITSAR SHTBDI,
,,'12033',CNB NDLS SHT   ,
,,'12034',NDLS CNB SHT   ,
,,'12035',JP AF SHATABDI ,
,,'12036',AF JP SHATABDI ,
,,'12037',NDLS LDH SHTBDI,
,,'12038',LDH NDLS SHTBDI,
,,'12039',KGM ANVT SHT   ,
,,'12040',ANVT KGM SHT   ,
,,'12041',SHATABDI EXPRES,
,,'12042',NJP HWH SHATABD,
,,'12043',NDLS MOGA SHT  ,
,,'12044',NDLS SHATABDI  ,
,,'12045',NDLS CDG SHTBDI,
,,'12046',CDG NDLS SHTBDI,
,,'12047',NDLS BTI SHTBDI,
,,'12048',BTI NDLS SHTBDI,
,,'12051',JAN SHATABDI EX,
,,'12052',JAN SHATABDI EX,
,,'12053',HW ASR JNSHTBDI,
,,'12054',ASR HW JNSHTBDI,
,,'12055',DDN JANSHTBDI  ,
,,'12056',NDLS JANSHATABD,
,,'12057',UHL JANSHATABDI,
,,'12058',NDLS JANSHTBDI ,
,,'12059',NZM JAN SHATABD,
,,'12060',KOTA JANSHTBDI ,
,,'12061',JBP JANSHATABDI,
,,'12062',HBJ JANSHATABDI,
,,'12063',HW UHL LINK JSH,
,,'12064',UHL HW LINK JSH,
,,'12065',NZM JAN SHATABD,
,,'12066',AII JAN SHATABD,
,,'12067',JAN SHATABDI EX,
,,'12068',JAN SHATABDI EX,
,,'12069',JANSHATABDI EXP,
,,'12070',JANSHATABDI EXP,
,,'12071',JAN SHATABDI EX,
,,'12072',JANSHATABDI EXP,
,,'12073',BBS JAN SHATABD,
,,'12074',BBS JAN SHATABD,
,,'12075',JAN SHATABDI   ,
,,'12076',JAN SHATABDI   ,
,,'12077',JAN SHATABDI   ,
,,'12078',JAN SHATABDI   ,
,,'12079',JANSHATABDI EXP,
,,'12080',JAN SHATABDI EX,
,,'12081',JAN SHATABDI   ,
,,'12082',JAN SHATABDI   ,
,,'12083',JAN SHATABDI EX,
,,'12084',JAN SHATABDI EX,
,,'12101',JNANESWARI DELX,
,,'12102',JNANESWARISUPDL,
,,'12103',PA LUCKNOW EXP ,
,,'12104',LJN PUNE EXP   ,
,,'12105',VIDARBHA EXPRES,
,,'12106',VIDARBHA EXPRES,
,,'12107',LUCKNOW SUP EXP,
,,'12108',LJN LTT EXPRESS,
,,'12109',PANCHAVATI EXP ,
,,'12110',PANCHAVTI EXP  ,
,,'12111',CSTM AMRAVATI E,
,,'12112',AMRAVATI CSTM E,
,,'12113',NAGPUR GARIBRAT,
,,'12114',PUNE GARIBRATH ,
,,'12115',SIDDHESHWAR EXP,
,,'12116',SIDDHESWAR EXP ,
,,'12117',LTT MANMAD EXP ,
,,'12118',MANMAD LTT EXP ,
,,'12121',M P SMPRK KRNTI,
,,'12122',M P SMPRK KRNTI,
,,'12123',DECCAN QUEEN   ,
,,'12124',DECCAN QUEEN   ,
,,'12125',PRAGATI EXPRESS,
,,'12126',PRAGATI EXPRESS,
,,'12127',INTERCITY EXP  ,
,,'12128',INTERCITY EXP  ,
,,'12129',AZAD HIND EXP  ,
,,'12130',AZAD HIND EXP  ,
,,'12131',DR SAINAGAR EXP,
,,'12132',SAINAGAR DR EXP,
,,'12133',MANGALORE EXP  ,
,,'12134',MUMBAI EXP     ,
,,'12135',PUNE NAGPUR EXP,
,,'12136',NAGPUR PUNE EXP,
,,'12137',PUNJAB MAIL    ,
,,'12138',PUNJAB MAIL    ,
,,'12139',SEWAGRAM  EXP  ,
,,'12140',SEWAGRAM  EXP  ,
,,'12141',RAJENDRA NGR EX,
,,'12142',RJPB LTT EXP   ,
,,'12143',LTT SLN SUP EXP,
,,'12144',SLN LTT SF     ,
,,'12145',LTT PURI SUP EX,
,,'12146',PURI LTT SUP EX,
,,'12147',NIZAMUDDIN EXP ,
,,'12148',NZM KOP EXP    ,
,,'12149',PUNE PATNA EXP ,
,,'12150',PNBE PUNE EXP  ,
,,'12151',SAMARSATA EXP  ,
,,'12152',SAMARSATA EXP  ,
,,'12153',HABIBGANJ EXP  ,
,,'12154',HBJ LTT SUP EXP,
,,'12155',BHOPAL  EXPRESS,
,,'12156',BHOPAL  EXPRESS,
,,'12157',HUTATMA EXPRESS,
,,'12158',HUTATMA EXPRESS,
,,'12159',AMI JBP SUP EXP,
,,'12160',JBP AMI SUP EXP,
,,'12161',LASHKAR EXPRESS,
,,'12162',LASHKAR EXPRESS,
,,'12163',CHENNAI EXPRESS,
,,'12164',CHENNAI EXP    ,
,,'12165',LTT BSB SUP EXP,
,,'12166',BSB LTT SUP EXP,
,,'12167',LTT BSB SUP EXP,
,,'12168',BSB LTT SUP EXP,
,,'12169',SUR INTERCITY  ,
,,'12170',PUNE INTERCITY ,
,,'12171',LTT HW AC SUP  ,
,,'12172',HW LTT AC SF   ,
,,'12173',UDYOG NAGRI EXP,
,,'12174',UDYOG NAGRI EXP,
,,'12175',CHAMBAL EXP    ,
,,'12176',CHAMBAL EXPRESS,
,,'12177',CHAMBAL EXP    ,
,,'12178',CHAMBAL EXPRESS,
,,'12179',LJN AGC INTRCIT,
,,'12180',LJN  INTERCITY ,
,,'12181',DAYODAYA EXPRES,
,,'12182',DAYODAYA EXP   ,
,,'12183',BPL PBH SUP EXP,
,,'12184',PBH BPL EXPRESS,
,,'12185',REWANCHAL EXP  ,
,,'12186',REWANCHAL EXP  ,
,,'12187',MUMBAI GARIBRAT,
,,'12188',JBP GARIB RATH ,
,,'12189',MAHAKAUSHAL EXP,
,,'12190',MAHAKOSHAL EXP ,
,,'12191',NDLS JBP SUP EX,
,,'12192',JBP NDLS SUP EX,
,,'12193',YPR JBP EXP    ,
,,'12194',JBP YPR SUP EXP,
,,'12195',AF AII INTERCIT,
,,'12196',AII AF INTERCIT,
,,'12197',GWL INTERCITY  ,
,,'12198',BPL INTERCITY  ,
,,'12201',KCVL GARIB RATH,
,,'12202',LTT GARIB RATH ,
,,'12203',GARIB RATH EXP ,
,,'12204',SHC GARIB RATH ,
,,'12205',NANDA DEVI EXP ,
,,'12206',NANDA DEVI EXP ,
,,'12207',JAMMU GARIB RAT,
,,'12208',KGM GARIB RATH ,
,,'12209',KGM GARIB RATH ,
,,'12210',CNB GARIB RATH ,
,,'12211',ANVT GARIB RATH,
,,'12212',MFP GARIB RATH ,
,,'12213',DURONTO EXPRESS,
,,'12214',YPR DURONTO EXP,
,,'12215',DEE BDTS G RATH,
,,'12216',DEE GARIBRATH  ,
,,'12217',SAMPARK KRANTHI,
,,'12218',KERLA S KRANTI ,
,,'12219',SC DURONTO EXP ,
,,'12220',DURONTO AC EXP ,
,,'12221',HOWRAH DURONTO ,
,,'12222',HWH PUNE DURONT,
,,'12223',LTT ERS DURONTO,
,,'12224',ERS LTT DURONTO,
,,'12225',KAIFIYAT EXP   ,
,,'12226',KAIFIYAT EXP   ,
,,'12227',INDORE DURONTO ,
,,'12228',MUMBAI DURONTO ,
,,'12229',LUCKNOW MAIL   ,
,,'12230',LUCKNOW MAIL   ,
,,'12231',LKO CDG EXPRESS,
,,'12232',CDG LKO EXPRESS,
,,'12235',DBRG NDLS RAJEX,
,,'12236',NDLS DBRG RJDHN,
,,'12237',BEGAMPURA EXP  ,
,,'12238',BEGAMPURA EXP  ,
,,'12239',JAIPUR DURONTO ,
,,'12240',JP BCT DURONTO ,
,,'12241',CDG ASR SUP    ,
,,'12242',ASR CDG SUP    ,
,,'12243',SHATABDI EXP   ,
,,'12244',SHATABDI EXP   ,
,,'12245',HWH YPR DURONTO,
,,'12246',DURONTO EXPRESS,
,,'12247',BDTS NZM YUVA E,
,,'12248',NZM  BDTS  YUVA,
,,'12249',HWH NDLS YUVA E,
,,'12250',NDLS HWH YUVA  ,
,,'12251',WAINGANGA EXP  ,
,,'12252',WAINGANGA EXP  ,
,,'12253',ANGA EXPRESS   ,
,,'12254',ANGA EXPRESS   ,
,,'12257',KOCHUVELI GR   ,
,,'12258',YESVANTPUR EXP ,
,,'12259',NDLS  DURONTO  ,
,,'12260',SDAH DURONTO EX,
,,'12261',HOWRAH DURONTO ,
,,'12262',HWH CSTM DURONT,
,,'12263',NZM DURONTO EXP,
,,'12264',PUNE DURONTO EX,
,,'12265',DEE JAT DURONTO,
,,'12266',DURONTO EXPRESS,
,,'12267',ADI DURONTO EXP,
,,'12268',BCT DURONTO EXP,
,,'12269',DURONTO EXPRESS,
,,'12270',MAS DURONTO EXP,
,,'12273',NDLS   DURONTO ,
,,'12274',HWH DURONTO EXP,
,,'12275',NDLS DURONTO EX,
,,'12276',ALD DURONTO EXP,
,,'12277',SATABDI EXPRESS,
,,'12278',SATABDI EXPRESS,
,,'12279',TAJ EXPRESS    ,
,,'12280',TAJ EXPRESS    ,
,,'12281',BBS DURONTO EXP,
,,'12282',BBS DURONTO EXP,
,,'12283',ERS NZM DURONTO,
,,'12284',NZM ERS DURONTO,
,,'12285',NZM DURONTO  EX,
,,'12286',NZM SC DURONTO ,
,,'12287',DEHRADUN EXP   ,
,,'12288',DDN KCVL SUP EX,
,,'12289',NAGPUR DURONTO ,
,,'12290',NGP CSTM DURONT,
,,'12291',YPR CHENNAI EXP,
,,'12292',YESVANTPUR EXP ,
,,'12293',ALD DURONTO EXP,
,,'12294',ALD LTT DURONTO,
,,'12295',SANGHAMITRA EXP,
,,'12296',SANGHA MITRA EX,
,,'12297',PUNE DURONTO   ,
,,'12298',ADI DURONTO EXP,
,,'12301',KOLKATA RAJDHNI,
,,'12302',KOLKATA RJDHNI ,
,,'12303',POORVA EXPRESS ,
,,'12304',POORVA EXPRESS ,
,,'12305',KOLKATA RJDHNI ,
,,'12306',KOLKATA  RJDHNI,
,,'12307',HWH JU  EXPRESS,
,,'12308',JU HWH SUPFAST ,
,,'12309',RJPB RAJDHANI  ,
,,'12310',RJPB RAJDHANI  ,
,,'12311',HWH DLI KLK MAI,
,,'12312',KALKA MAIL     ,
,,'12313',SDAH RAJDHANIEX,
,,'12314',SEALDAH RJDHANI,
,,'12315',ANNANYA  EXPRES,
,,'12316',ANANYA EXPRESS ,
,,'12317',AKAL TAKHT EXP ,
,,'12318',AKAL TAKHAT EXP,
,,'12319',KOAA AGC EXPRES,
,,'12320',AGC KOAA EXP   ,
,,'12321',HWH MUMBAI MAIL,
,,'12322',KOLKATA MAIL   ,
,,'12323',HWH NDLS EXPRES,
,,'12324',NDLS HWH EXPRES,
,,'12325',KOAA NLDM EXP  ,
,,'12326',NLDM KOAA EXP  ,
,,'12327',UPASANA EXPRESS,
,,'12328',UPASANA EXPRESS,
,,'12329',W B SMPRK KRNTI,
,,'12330',W B SMPRK KRNTI,
,,'12331',HIMGIRI EXPRESS,
