TrainNo,TrainName,Type,Distance,Region,Day,DelayInMin
12002,Bhopal Shatabdi,0,1,3,6,8
12002,Bhopal Shatabdi,0,1,3,7,34
12002,Bhopal Shatabdi,0,1,3,1,27
12002,Bhopal Shatabdi,0,1,3,2,16
12002,Bhopal Shatabdi,0,1,3,3,8
12002,Bhopal Shatabdi,0,1,3,4,17
12002,Bhopal Shatabdi,0,1,3,5,15
12002,Bhopal Shatabdi,0,1,3,6,20
12002,Bhopal Shatabdi,0,1,3,7,38
12002,Bhopal Shatabdi,0,1,3,1,15
12002,Bhopal Shatabdi,0,1,3,2,10
12002,Bhopal Shatabdi,0,1,3,3,5
12002,Bhopal Shatabdi,0,1,3,4,23
12002,Bhopal Shatabdi,0,1,3,5,10
12002,Bhopal Shatabdi,0,1,3,6,19
12002,Bhopal Shatabdi,0,1,3,7,47
12002,Bhopal Shatabdi,0,0,3,1,5
12002,Bhopal Shatabdi,0,0,3,2,3
12002,Bhopal Shatabdi,0,0,3,3,0
12002,Bhopal Shatabdi,0,0,3,4,6
12002,Bhopal Shatabdi,0,0,3,5,10
12002,Bhopal Shatabdi,0,0,3,6,7
12002,Bhopal Shatabdi,0,0,3,7,35
12002,Bhopal Shatabdi,0,0,3,1,16
12002,Bhopal Shatabdi,0,0,3,2,3
12002,Bhopal Shatabdi,0,0,3,3,5
12002,Bhopal Shatabdi,0,0,3,4,8
12002,Bhopal Shatabdi,0,0,3,5,18
12002,Bhopal Shatabdi,0,0,3,6,0
12002,Bhopal Shatabdi,0,0,3,7,23
12002,Bhopal Shatabdi,0,0,3,1,21
12002,Bhopal Shatabdi,0,0,3,2,10
12002,Bhopal Shatabdi,0,0,3,3,9
12002,Bhopal Shatabdi,0,0,3,4,14
12002,Bhopal Shatabdi,0,0,3,5,2
12002,Bhopal Shatabdi,0,0,3,6,14
12002,Bhopal Shatabdi,0,0,3,7,25
12002,Bhopal Shatabdi,0,0,3,1,11
12002,Bhopal Shatabdi,0,0,3,2,16
12002,Bhopal Shatabdi,0,0,3,3,12
12002,Bhopal Shatabdi,0,0,3,4,15
12002,Bhopal Shatabdi,0,0,3,5,0
12002,Bhopal Shatabdi,0,0,3,6,14
12002,Bhopal Shatabdi,0,0,3,7,42
12925,Pachim express,1,0,3,1,2
12925,Pachim express,1,0,3,2,7
12925,Pachim express,1,0,3,3,0
12925,Pachim express,1,0,3,4,3
12925,Pachim express,1,0,3,5,5
12925,Pachim express,1,0,3,6,25
12925,Pachim express,1,0,3,7,13
12925,Pachim express,1,0,3,1,2
12925,Pachim express,1,0,3,2,5
12925,Pachim express,1,0,3,3,6
12925,Pachim express,1,0,3,4,5
12925,Pachim express,1,0,3,5,5
12925,Pachim express,1,0,3,6,5
12925,Pachim express,1,0,3,7,12
12925,Pachim express,1,0,3,1,13
12925,Pachim express,1,0,3,2,23
12925,Pachim express,1,0,3,3,0
12925,Pachim express,1,0,3,4,21
12925,Pachim express,1,0,3,5,5
12925,Pachim express,1,0,3,6,20
12925,Pachim express,1,0,3,7,21
12445,Uttar S Kranti,0,1,3,1,16
12445,Uttar S Kranti,0,1,3,2,31
12445,Uttar S Kranti,0,1,3,3,0
12445,Uttar S Kranti,0,1,3,4,32
12445,Uttar S Kranti,0,1,3,5,13
12445,Uttar S Kranti,0,1,3,6,8
12445,Uttar S Kranti,0,1,3,7,26
12445,Uttar S Kranti,0,1,3,1,5
12445,Uttar S Kranti,0,1,3,2,0
12445,Uttar S Kranti,0,1,3,3,10
12445,Uttar S Kranti,0,1,3,4,8
12445,Uttar S Kranti,0,1,3,5,0
12445,Uttar S Kranti,0,1,3,6,5
12445,Uttar S Kranti,0,1,3,7,5
12445,Uttar S Kranti,0,1,3,1,0
12445,Uttar S Kranti,0,1,3,2,0
12445,Uttar S Kranti,0,1,3,3,10
12445,Uttar S Kranti,0,1,3,4,5
12445,Uttar S Kranti,0,1,3,5,0
12445,Uttar S Kranti,0,1,3,6,14
12445,Uttar S Kranti,0,1,3,7,19
