Train No,Train name,Type,Distance,Destination/path,Day of week,Delay(min)
,,,,,,
,,(0/1),(0/1),(1/2/3/4),(1/2/…/7)),
12428,dbrt rajdhani,0,1,4,5,19
12429,dbrt rajdhani,0,1,4,6,17
12430,dbrt rajdhani,0,1,4,7,21
12431,dbrt rajdhani,0,1,4,1,0
12432,dbrt rajdhani,0,1,4,2,9
12433,dbrt rajdhani,0,1,4,3,0
12434,dbrt rajdhani,0,1,4,4,5
12435,dbrt rajdhani,0,1,4,5,7
12436,dbrt rajdhani,0,1,4,6,11
12437,dbrt rajdhani,0,1,4,7,19
12438,dbrt rajdhani,0,1,4,1,3
12439,dbrt rajdhani,0,1,4,2,6
12440,dbrt rajdhani,0,1,4,3,1
12441,dbrt rajdhani,0,1,4,4,9
12442,dbrt rajdhani,0,1,4,5,12
12443,dbrt rajdhani,0,1,4,6,3
12444,dbrt rajdhani,0,1,4,7,18
12445,dbrt rajdhani,0,1,4,1,6
12446,dbrt rajdhani,0,1,4,2,4
12447,dbrt rajdhani,0,1,4,3,0
12448,dbrt rajdhani,0,1,4,4,0
12449,dbrt rajdhani,0,1,4,5,2
12450,dbrt rajdhani,0,1,4,6,22
12451,dbrt rajdhani,0,1,4,7,19
12402,magadh express,1,1,4,1,160
12403,magadh express,1,1,4,2,205
12404,magadh express,1,1,4,3,140
12405,magadh express,1,1,4,4,178
12406,magadh express,1,1,4,5,210
12407,magadh express,1,1,4,6,229
12408,magadh express,1,1,4,7,260
12409,magadh express,1,1,4,1,133
12410,magadh express,1,1,4,2,198
12411,magadh express,1,1,4,3,172
12412,magadh express,1,1,4,4,192
12413,magadh express,1,1,4,5,189
12414,magadh express,1,1,4,6,219
12415,magadh express,1,1,4,7,256
12416,magadh express,1,1,4,1,140
12417,magadh express,1,1,4,2,165
12418,magadh express,1,1,4,3,121
12419,magadh express,1,1,4,4,201
12420,magadh express,1,1,4,5,211
12421,magadh express,1,1,4,6,289
12422,magadh express,1,1,4,7,271
12423,magadh express,1,1,4,1,190
12424,magadh express,1,1,4,2,199
12425,magadh express,1,1,4,3,210
12426,magadh express,1,1,4,4,154
12427,magadh express,1,1,4,5,139
12428,magadh express,1,1,4,6,152
12429,magadh express,1,1,4,7,141
12506,north east express,1,1,4,1,355
12507,north east express,1,1,4,2,310
12508,north east express,1,1,4,3,221
12509,north east express,1,1,4,4,256
12510,north east express,1,1,4,5,332
12511,north east express,1,1,4,6,401
12512,north east express,1,1,4,7,423
12513,north east express,1,1,4,1,322
12514,north east express,1,1,4,2,287
12515,north east express,1,1,4,3,309
12516,north east express,1,1,4,4,337
12517,north east express,1,1,4,5,387
12518,north east express,1,1,4,6,433
12519,north east express,1,1,4,7,436
12520,north east express,1,1,4,1,287
12521,north east express,1,1,4,2,245
12522,north east express,1,1,4,3,301
12523,north east express,1,1,4,4,365
12524,north east express,1,1,4,5,407
12525,north east express,1,1,4,6,422
12526,north east express,1,1,4,7,489
12527,north east express,1,1,4,1,420
12528,north east express,1,1,4,2,376
12529,north east express,1,1,4,3,323
12530,north east express,1,1,4,4,278
12531,north east express,1,1,4,5,367
12532,north east express,1,1,4,6,390
12533,north east express,1,1,4,7,430
